Getting Started,,,,Ad Hoc Problems - Part 1,,,,Ad Hoc Problems - Part 2,,
Super Easy,Java,C++,,Game (Card),Java,C++,,Time,Java,C++
272 - TEX Quotes,ok,ok,,462 - Bridge Hand Evaluator,,,,579 - Clock Hands,ok,
1124 - Celebrity jeopardy,ok,ok,,10646 - What is the Card?,,,,893 - Y3K Problem,ok,
10550 - Combination Lock,ok,ok,,12247 - Jollo,,,,11947 - Cancer or Scorpio,ok,
11172 - Relational Operator,ok,ok,,Game (Chess),Java,C++,,Time Waster' Problems,Java,C++
11364 - Optimal Parking,ok,ok,,278 - Chess,,,,556 - Amazing,,
11498 - Division of Nlogonia,ok,ok,,696 - How Many Knights,,,,12060 - All Integer Average,,
11547 - Automatic Answer,ok,ok,,10284 - Chessboard in FEN,,,,12085 - Mobile Casanova,,
11727 - Cost Cutting,ok,ok,,"Game (Other), Easier",Java,C++,,,,
12250 - Language Detection,ok,ok,,340 - Master-Mind Hints,ok,,,,,
12279 - Emoogle Balance,ok,ok,,489 - Hangman Judge,ok,,,,,
12289 - One-Two-Three,ok,ok,,947 - Master Mind Helper,,,,,,
12372 - Packing for Holiday,ok,ok,,10189 - Minesweeper,ok,,,,,
12403 - Save Setu,ok,ok,,10279 - Mine Sweeper,,,,,,
12577 - Hajj-e-Akbar,ok,ok,,10409 - Die Game,lol,,,,,
Easy,Java,C++,,10530 - Guessing Game,,,,,,
621 - Secret Research,ok,ok,,11459 - Snakes and Ladders,,,,,,
10114 - Loansome Car Buyer,ok,ok,,12239 - Bingo!,,,,,,
10300 - Ecological Premium,ok,ok,,"Game (Other), Harder",Java,C++,,,,
10963 - The Swallowing Ground,,,,584 - Bowling,,,,,,
11332 - Summing Digits,ok,ok,,10443 - Rock,,,,,,
11559 - Event Planning,ok,ok,,10813 - Traditional BINGO,,,,,,
11679 - Sub-prime,,,,Palindrome,Java,C++,,,,
11764 - Jumping Mario,ok,ok,,401 - Palindromes,ok,,,,,
11799 - Horror Dash,ok,ok,,10945 - Mother bear,ok,,,,,
11942 - Lumberjack Sequencing,ok,ok,,11221 - Magic square palindromes,ok,,,,,
12015 - Google is Feeling Lucky,ok,,,Anagram,Java,C++,,,,
 12157 - Tariff Plan,,,,156 - Ananagrams,ok,,,,,
12468 - Zapping,,,,195 - Anagram,,,,,,
12503 - Robot Instructions,,,,454 - Anagrams,,,,,,
"12554 - A Special ""Happy Birthday"" Song!!!",,,," Interesting Real Life Problems, Easier",Java,C++,,,,
Medium,Java,C++,,161 - Traffic Lights,,,,,,
119 - Greedy Gift Givers,,,,637 - Booklet Printing,,,,,,
573 - The Snail,ok,ok,,10812 - Beat the Spread!,ok,ok,,,,
661 - Blowing Fuses,ok,,," Interesting Real Life Problems, Harder",Java,C++,,,,
10141 - Request for Proposal,ok,,,403 - Postscript,,,,,,
10324 - Zeros and Ones,TL,ok,,608 - Counterfeit Dollar,,,,,,
10424 - Love Calculator,ok,ok,,1061 - Consanguine Calculations,,,,,,
10919 - Prerequisites?,,,,,,,,,,
11507 - Bender B. Rodríguez Problem,ok,ok,,,,,,,,
11586 - Train Tracks,,,,,,,,,,
11661 - Burger Time?,,,,,,,,,,
11683 - Laser Sculpture,,,,,,,,,,
11687 - Digits,,,,,,,,,,
11956 - Brainfuck,,,,,,,,,,
12478 - Hardest Problem Ever (Easy),,,,,,,,,,